logEC50,smile,Cation,Anion
2.37,CCOC(=O)C[N+](C)(C)CC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCOC(=O)C[N+](C)(C)CC,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
1.09,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
3.4,CC[S+](CC)CC.[Br-],CC[S+](CC)CC,[Br-]
3.53,CCOC(=O)C[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC(=O)C[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.41,CCOC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.865,CC[N+](C)(C)CC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)CC#N,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4.0,C[N+]1(Cc2ccccc2)CCOCC1.O=[N+]([O-])[O-],C[N+]1(Cc2ccccc2)CCOCC1,O=[N+]([O-])[O-]
1.89,CCCCCCCC[n+]1ccccc1.[Br-],CCCCCCCC[n+]1ccccc1,[Br-]
1.6,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCOC[n+]1cccc(O)c1,CCCCCCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1
2.94,CCCCCC[N+]1(C)CCCCC1.[Br-],CCCCCC[N+]1(C)CCCCC1,[Br-]
3.26,CCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.16,CCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,CCCC[n+]1cccc2ccccc21,F[B-](F)(F)F
1.74,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=C(O)c1ccccc1[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=C(O)c1ccccc1[O-]
1.08,CCCCCCCC[n+]1cccc(C)c1C.[Br-],CCCCCCCC[n+]1cccc(C)c1C,[Br-]
2.22,CCC[n+]1ccccc1.[Br-],CCC[n+]1ccccc1,[Br-]
4.24,CCOCC[n+]1ccccc1.[Br-],CCOCC[n+]1ccccc1,[Br-]
3.4282556305,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,CCCCn1cc[n+](CC)c1,O=S(=O)([O-])C(F)(F)F
4.6,COCCC[N+]1(C)CCOCC1.[Cl-],COCCC[N+]1(C)CCOCC1,[Cl-]
3.44,CCn1cc[n+](C)c1.F[B-](F)(F)F,CCn1cc[n+](C)c1,F[B-](F)(F)F
2.67,Cc1ccc(Cn2cc[n+](C)c2)cc1.F[B-](F)(F)F,Cc1ccc(Cn2cc[n+](C)c2)cc1,F[B-](F)(F)F
2.32,CCCC[n+]1cccc2ccccc21.[Br-],CCCC[n+]1cccc2ccccc21,[Br-]
3.0,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCOC[n+]1cccc(O)c1,CCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1
3.21,CCCC[n+]1cccc(C)c1.COS(=O)(=O)[O-],CCCC[n+]1cccc(C)c1,COS(=O)(=O)[O-]
2.88,Cn1cc[n+](CC#N)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,Cn1cc[n+](CC#N)c1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.68,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1cccc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4.6,C[N+]1(CCCO)CCOCC1.[Cl-],C[N+]1(CCCO)CCOCC1,[Cl-]
1.62,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
1.5275224035,CCCCCCCCOS(=O)(=O)[O-].CCCCCCCCn1cc[n+](C)c1,CCCCCCCCn1cc[n+](C)c1,CCCCCCCCOS(=O)(=O)[O-]
2.09,CC[n+]1ccn(C)c1.O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CC[n+]1ccn(C)c1,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
1.852456511,CCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
1.91,CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
