"T","P",SMILES,co2,Cation,Anion
298.2,90200.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.843,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
363.15,34400.0,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.8176,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,2470.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.395,CC[n+]1ccn(C)c1,CC(=O)[O-]
353.15,1041.7,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.334,CC[n+]1ccn(C)c1,F[B-](F)(F)F
298.15,1793.0,CCCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.3229,CCCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
303.15,1199.97,COCC[n+]1ccccc1.N#C[S-],0.159,COCC[n+]1ccccc1,N#C[S-]
323.2,250.1,CCCCCCCCC=CCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0677,CCCCCCCCC=CCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
300.68,3757.0,CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.2997,CCCCn1cc[n+](C)c1,O=[N+]([O-])[O-]
308.15,101.2,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],3.466,CCCC[n+]1ccn(C)c1,NCC(=O)[O-]
315.93,1584.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.303,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,1906.0,CC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.378,CC[N+](C)(C)CCOC(C)=O,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.27,19.8,CCCCCC[n+]1ccn(C)c1.O=S1(=O)N=C([O-])c2ccccc21,0.0015,CCCCCC[n+]1ccn(C)c1,O=S1(=O)N=C([O-])c2ccccc21
298.18,1200.0,CCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.407,CCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.15,1651.5,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.51,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,795.4,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.164,Cn1cc[n+](CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,7910.0,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6287,CCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,11820.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.575,CC[n+]1ccn(C)c1,CC(=O)[O-]
334.05,4490.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1.614,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
333.2,2380.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.166,CC[n+]1ccn(C)c1,F[B-](F)(F)F
313.15,1347.0,CCCC[n+]1ccccc1.N#C[N-]C#N,0.145,CCCC[n+]1ccccc1,N#C[N-]C#N
303.15,5870.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.575,CC[n+]1ccn(C)c1,CC(=O)[O-]
353.1,4815.8,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.3,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
313.3,2285.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.445,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
